stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
DKI4,116.0,74.0,55.0,17.0,58.0,36.0,116.0,PM25,TIDAK SEHAT
DKI4,117.0,64.0,52.0,11.0,59.0,24.0,117.0,PM25,TIDAK SEHAT
DKI4,138.0,75.0,51.0,12.0,65.0,28.0,138.0,PM25,TIDAK SEHAT
DKI4,94.0,61.0,51.0,15.0,56.0,34.0,94.0,PM25,SEDANG
DKI2,85.0,69.0,60.0,17.0,44.0,38.0,85.0,PM25,SEDANG
DKI2,91.0,71.0,57.0,18.0,55.0,42.0,91.0,PM25,SEDANG
DKI3,102.0,66.0,51.0,15.0,57.0,33.0,102.0,PM25,TIDAK SEHAT
DKI4,89.0,55.0,47.0,13.0,53.0,17.0,89.0,PM25,SEDANG
DKI4,95.0,61.0,50.0,10.0,51.0,20.0,95.0,PM25,SEDANG
DKI4,113.0,74.0,54.0,18.0,39.0,26.0,113.0,PM25,TIDAK SEHAT
DKI4,117.0,73.0,53.0,20.0,45.0,38.0,117.0,PM25,TIDAK SEHAT
DKI4,77.0,57.0,53.0,16.0,66.0,38.0,77.0,PM25,SEDANG
DKI3,83.0,67.0,61.0,26.0,151.0,45.0,151.0,O3,TIDAK SEHAT
DKI4,87.0,60.0,53.0,12.0,71.0,28.0,87.0,PM25,SEDANG
DKI4,66.0,46.0,46.0,9.0,61.0,21.0,66.0,PM25,SEDANG
DKI3,76.0,55.0,51.0,10.0,66.0,21.0,76.0,PM25,SEDANG
DKI4,102.0,69.0,50.0,12.0,57.0,24.0,102.0,PM25,TIDAK SEHAT
DKI4,105.0,67.0,52.0,10.0,63.0,21.0,105.0,PM25,TIDAK SEHAT
DKI5,115.0,81.0,49.0,14.0,48.0,20.0,115.0,PM25,TIDAK SEHAT
DKI5,81.0,56.0,51.0,9.0,52.0,14.0,81.0,PM25,SEDANG
DKI4,89.0,62.0,54.0,11.0,40.0,19.0,89.0,PM25,SEDANG
DKI4,92.0,54.0,50.0,9.0,52.0,16.0,92.0,PM25,SEDANG
DKI5,75.0,54.0,55.0,11.0,51.0,24.0,75.0,PM25,SEDANG
DKI3,58.0,41.0,48.0,10.0,49.0,26.0,58.0,PM25,SEDANG
DKI4,99.0,61.0,52.0,17.0,55.0,36.0,99.0,PM25,SEDANG
DKI4,103.0,66.0,53.0,12.0,56.0,27.0,103.0,PM25,TIDAK SEHAT
DKI4,95.0,60.0,58.0,15.0,65.0,34.0,95.0,PM25,SEDANG
DKI2,90.0,64.0,62.0,16.0,66.0,36.0,90.0,PM25,SEDANG
DKI5,109.0,73.0,64.0,31.0,57.0,40.0,109.0,PM25,TIDAK SEHAT
DKI4,118.0,86.0,74.0,26.0,72.0,38.0,118.0,PM25,TIDAK SEHAT
DKI5,70.0,56.0,52.0,15.0,66.0,35.0,70.0,PM25,SEDANG
DKI4,93.0,62.0,52.0,12.0,64.0,24.0,93.0,PM25,SEDANG
DKI4,79.0,60.0,52.0,10.0,62.0,20.0,79.0,PM25,SEDANG
DKI4,93.0,66.0,53.0,12.0,63.0,24.0,93.0,PM25,SEDANG
DKI4,91.0,60.0,46.0,14.0,66.0,32.0,91.0,PM25,SEDANG
DKI4,72.0,53.0,55.0,17.0,51.0,29.0,72.0,PM25,SEDANG
DKI4,93.0,62.0,49.0,20.0,71.0,37.0,93.0,PM25,SEDANG
DKI3,105.0,73.0,50.0,18.0,64.0,35.0,105.0,PM25,TIDAK SEHAT
DKI4,100.0,68.0,54.0,20.0,76.0,38.0,100.0,PM25,SEDANG
DKI2,93.0,68.0,57.0,20.0,61.0,41.0,93.0,PM25,SEDANG
DKI4,100.0,66.0,48.0,13.0,76.0,30.0,100.0,PM25,SEDANG
DKI4,93.0,64.0,51.0,20.0,65.0,38.0,93.0,PM25,SEDANG
DKI3,95.0,63.0,50.0,15.0,72.0,32.0,95.0,PM25,SEDANG
DKI4,86.0,61.0,52.0,15.0,68.0,31.0,86.0,PM25,SEDANG
DKI4,103.0,70.0,53.0,16.0,72.0,38.0,103.0,PM25,TIDAK SEHAT
DKI4,108.0,68.0,54.0,14.0,67.0,34.0,108.0,PM25,TIDAK SEHAT
DKI4,108.0,71.0,56.0,23.0,48.0,47.0,108.0,PM25,TIDAK SEHAT
DKI4,99.0,65.0,51.0,15.0,61.0,40.0,99.0,PM25,SEDANG
DKI4,93.0,67.0,54.0,17.0,57.0,35.0,93.0,PM25,SEDANG
DKI4,80.0,55.0,52.0,14.0,58.0,25.0,80.0,PM25,SEDANG
DKI4,103.0,69.0,53.0,13.0,58.0,26.0,103.0,PM25,TIDAK SEHAT
DKI3,114.0,73.0,52.0,13.0,44.0,29.0,114.0,PM25,TIDAK SEHAT
DKI5,97.0,67.0,66.0,25.0,43.0,55.0,97.0,PM25,SEDANG
DKI4,102.0,66.0,51.0,28.0,44.0,41.0,102.0,PM25,TIDAK SEHAT
DKI4,102.0,77.0,59.0,23.0,49.0,45.0,102.0,PM25,TIDAK SEHAT
DKI4,102.0,64.0,59.0,21.0,41.0,45.0,102.0,PM25,TIDAK SEHAT
DKI4,140.0,81.0,66.0,26.0,44.0,58.0,140.0,PM25,TIDAK SEHAT
DKI4,90.0,62.0,55.0,16.0,44.0,35.0,90.0,PM25,SEDANG
DKI4,84.0,59.0,54.0,16.0,38.0,35.0,84.0,PM25,SEDANG
DKI4,107.0,66.0,52.0,17.0,51.0,43.0,107.0,PM25,TIDAK SEHAT
DKI4,119.0,80.0,54.0,19.0,42.0,52.0,119.0,PM25,TIDAK SEHAT
DKI4,147.0,85.0,58.0,30.0,40.0,63.0,147.0,PM25,TIDAK SEHAT
DKI4,118.0,67.0,53.0,10.0,53.0,23.0,118.0,PM25,TIDAK SEHAT
DKI4,134.0,72.0,57.0,22.0,57.0,41.0,134.0,PM25,TIDAK SEHAT
DKI4,117.0,65.0,53.0,18.0,61.0,38.0,117.0,PM25,TIDAK SEHAT
DKI5,128.0,75.0,52.0,24.0,51.0,50.0,128.0,PM25,TIDAK SEHAT
DKI4,125.0,79.0,57.0,19.0,55.0,38.0,125.0,PM25,TIDAK SEHAT
DKI4,114.0,64.0,53.0,14.0,48.0,31.0,114.0,PM25,TIDAK SEHAT
DKI4,108.0,68.0,56.0,23.0,40.0,51.0,108.0,PM25,TIDAK SEHAT
DKI4,141.0,80.0,54.0,13.0,44.0,27.0,141.0,PM25,TIDAK SEHAT
DKI4,161.0,94.0,51.0,15.0,50.0,25.0,161.0,PM25,TIDAK SEHAT
DKI4,153.0,83.0,56.0,13.0,62.0,26.0,153.0,PM25,TIDAK SEHAT
DKI3,102.0,68.0,51.0,10.0,55.0,29.0,102.0,PM25,TIDAK SEHAT
DKI4,130.0,84.0,54.0,12.0,51.0,27.0,130.0,PM25,TIDAK SEHAT
DKI4,145.0,83.0,56.0,11.0,50.0,26.0,145.0,PM25,TIDAK SEHAT
DKI4,156.0,92.0,59.0,11.0,56.0,26.0,156.0,PM25,TIDAK SEHAT
DKI4,132.0,78.0,54.0,10.0,63.0,23.0,132.0,PM25,TIDAK SEHAT
DKI4,119.0,66.0,54.0,10.0,54.0,17.0,119.0,PM25,TIDAK SEHAT
DKI2,59.0,64.0,52.0,9.0,44.0,14.0,64.0,PM10,SEDANG
DKI2,119.0,78.0,54.0,11.0,43.0,26.0,119.0,PM25,TIDAK SEHAT
DKI4,116.0,66.0,51.0,13.0,50.0,26.0,116.0,PM25,TIDAK SEHAT
DKI4,174.0,95.0,62.0,15.0,56.0,30.0,174.0,PM25,TIDAK SEHAT
DKI4,138.0,85.0,53.0,11.0,53.0,29.0,138.0,PM25,TIDAK SEHAT
DKI4,134.0,74.0,55.0,10.0,58.0,20.0,134.0,PM25,TIDAK SEHAT
DKI4,150.0,82.0,55.0,13.0,58.0,27.0,150.0,PM25,TIDAK SEHAT
DKI4,140.0,80.0,51.0,11.0,77.0,28.0,140.0,PM25,TIDAK SEHAT
DKI4,147.0,86.0,51.0,15.0,60.0,24.0,147.0,PM25,TIDAK SEHAT
DKI4,102.0,55.0,52.0,9.0,58.0,19.0,102.0,PM25,TIDAK SEHAT
DKI4,110.0,60.0,53.0,11.0,54.0,27.0,110.0,PM25,TIDAK SEHAT
DKI4,104.0,63.0,52.0,10.0,59.0,28.0,104.0,PM25,TIDAK SEHAT
DKI4,104.0,66.0,54.0,13.0,51.0,34.0,104.0,PM25,TIDAK SEHAT
DKI4,148.0,81.0,55.0,24.0,54.0,42.0,148.0,PM25,TIDAK SEHAT
DKI4,131.0,79.0,54.0,16.0,46.0,32.0,131.0,PM25,TIDAK SEHAT
DKI4,140.0,82.0,56.0,13.0,41.0,35.0,140.0,PM25,TIDAK SEHAT
DKI4,145.0,82.0,53.0,18.0,40.0,45.0,145.0,PM25,TIDAK SEHAT
DKI5,140.0,78.0,52.0,18.0,53.0,39.0,140.0,PM25,TIDAK SEHAT
DKI4,154.0,90.0,54.0,15.0,81.0,35.0,154.0,PM25,TIDAK SEHAT
DKI4,86.0,55.0,50.0,9.0,67.0,22.0,86.0,PM25,SEDANG
